"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"05/04/2024","232,91","227,45","233,33","227,38","","1,60%"
"04/04/2024","229,24","230,45","230,55","228,62","","-0,28%"
"03/04/2024","229,89","228,69","229,96","227,00","","1,45%"
"02/04/2024","226,59","225,35","228,17","225,22","","1,09%"
"01/04/2024","224,14","226,05","227,04","223,37","","0,84%"
"28/03/2024","222,28","219,42","223,03","219,39","","1,16%"
"27/03/2024","219,73","218,01","220,26","218,00","","0,61%"
"26/03/2024","218,39","217,65","220,68","217,63","","0,05%"
"25/03/2024","218,29","218,25","218,85","217,12","","0,76%"
"22/03/2024","216,64","218,23","218,80","216,50","","-1,13%"
"21/03/2024","219,11","221,33","221,99","217,49","","1,10%"
"20/03/2024","216,72","216,81","217,41","215,85","","0,05%"
"19/03/2024","216,60","216,96","217,23","215,70","","-0,22%"
"18/03/2024","217,07","216,20","217,34","215,59","","0,13%"
"15/03/2024","216,79","217,29","218,29","216,71","","-0,27%"
"14/03/2024","217,38","218,51","218,56","216,37","","-0,60%"
"13/03/2024","218,71","217,00","219,14","216,87","","0,67%"
"12/03/2024","217,24","219,50","219,50","216,45","","-1,02%"
"11/03/2024","219,47","219,26","219,80","218,78","","0,15%"
"08/03/2024","219,14","216,85","220,83","216,72","","0,94%"
"07/03/2024","217,11","216,40","217,73","216,13","","0,32%"
"06/03/2024","216,40","214,05","216,52","213,77","","0,76%"
"05/03/2024","214,77","212,57","215,58","212,50","","0,73%"
"04/03/2024","213,21","209,57","213,41","209,47","","1,46%"
"01/03/2024","210,14","205,95","210,19","205,26","","2,00%"
"29/02/2024","206,03","205,03","206,49","204,17","","0,59%"
"28/02/2024","204,82","204,53","205,26","203,91","","-0,07%"
"27/02/2024","204,96","204,86","205,46","204,47","","0,26%"
"26/02/2024","204,44","204,61","205,19","204,04","","-0,51%"
"23/02/2024","205,50","203,57","205,53","203,09","","0,92%"
"22/02/2024","203,62","203,40","205,04","203,36","","-0,18%"
"21/02/2024","203,98","203,40","204,84","203,36","","-0,27%"
"20/02/2024","204,53","203,40","204,78","203,36","","0,78%"
"16/02/2024","202,96","204,17","204,92","200,25","","0,46%"
"15/02/2024","202,04","204,17","204,92","200,25","","0,53%"
"14/02/2024","200,97","204,17","204,92","200,25","","-0,14%"
"13/02/2024","201,26","204,17","204,92","200,84","","-1,27%"
"12/02/2024","203,85","204,17","204,70","203,10","","-0,28%"
"09/02/2024","204,42","205,46","205,72","204,01","","-0,45%"
"08/02/2024","205,34","205,55","206,65","203,64","","-0,19%"
"07/02/2024","205,73","205,55","206,65","203,64","","0,01%"
"06/02/2024","205,70","205,55","206,08","203,64","","0,42%"
"05/02/2024","204,84","205,55","205,63","203,64","","-0,53%"
"02/02/2024","205,93","204,88","208,85","204,42","","-0,84%"
"01/02/2024","207,67","204,88","208,85","204,42","","0,18%"
"31/01/2024","207,30","204,88","208,00","204,42","","0,80%"
"30/01/2024","205,65","204,88","207,26","204,42","","0,31%"
"29/01/2024","205,01","204,88","206,15","204,42","","0,42%"
"26/01/2024","204,16","203,97","205,04","203,48","","-0,03%"
"25/01/2024","204,23","203,97","204,99","203,48","","0,08%"
"24/01/2024","204,07","204,98","206,26","203,73","","-0,49%"
"23/01/2024","205,07","204,85","206,39","204,74","","0,18%"
"22/01/2024","204,71","205,63","205,67","204,37","","-0,34%"
"19/01/2024","205,41","205,06","206,64","204,72","","0,37%"
"18/01/2024","204,66","203,43","204,73","203,29","","0,75%"
"17/01/2024","203,15","205,74","205,74","203,01","","-1,17%"
"16/01/2024","205,55","207,93","208,05","205,34","","-1,04%"
