"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"05/04/2024","227,99","219,84","228,79","219,75","","0,94%"
"04/04/2024","225,86","226,55","226,55","222,86","","0,69%"
"03/04/2024","224,31","218,55","224,40","217,97","","4,39%"
"02/04/2024","214,89","209,68","215,69","209,68","","3,39%"
"01/04/2024","207,84","209,18","211,42","206,12","","0,63%"
"28/03/2024","206,54","204,67","207,61","203,13","","0,66%"
"27/03/2024","205,18","203,05","205,41","203,01","","0,52%"
"26/03/2024","204,11","205,54","207,65","203,30","","-1,08%"
"25/03/2024","206,33","207,15","207,57","204,92","","0,19%"
"22/03/2024","205,94","204,87","208,15","203,80","","-0,66%"
"21/03/2024","207,29","214,82","215,32","205,79","","-0,39%"
"20/03/2024","208,10","208,40","209,14","206,66","","-0,12%"
"19/03/2024","208,36","209,56","210,18","206,57","","-0,51%"
"18/03/2024","209,43","209,39","211,67","208,77","","-0,46%"
"15/03/2024","210,39","208,27","212,67","207,94","","1,28%"
"14/03/2024","207,73","209,76","209,85","206,86","","-0,38%"
"13/03/2024","208,53","201,68","208,89","201,23","","3,12%"
"12/03/2024","202,21","204,83","206,37","200,90","","-1,30%"
"11/03/2024","204,87","203,51","205,08","202,64","","0,68%"
"08/03/2024","203,50","203,01","206,03","202,43","","-0,12%"
"07/03/2024","203,74","201,77","205,00","200,81","","0,35%"
"06/03/2024","203,03","197,99","203,13","197,37","","2,12%"
"05/03/2024","198,81","198,45","202,64","197,95","","-0,03%"
"04/03/2024","198,87","193,06","199,36","192,56","","2,68%"
"01/03/2024","193,68","189,95","193,97","188,30","","2,09%"
"29/02/2024","189,70","188,42","190,66","186,60","","1,10%"
"28/02/2024","187,64","187,84","188,46","186,31","","-0,53%"
"27/02/2024","188,64","188,79","190,08","187,76","","0,10%"
"26/02/2024","188,46","190,74","191,53","188,01","","-1,96%"
"23/02/2024","192,22","189,75","192,48","189,04","","0,81%"
"22/02/2024","190,68","192,48","194,35","190,45","","-0,39%"
"21/02/2024","191,44","192,48","194,35","190,78","","-1,10%"
"20/02/2024","193,57","192,48","194,35","192,07","","-1,41%"
"16/02/2024","196,34","190,20","196,87","183,94","","2,24%"
"15/02/2024","192,03","190,20","193,66","183,94","","2,51%"
"14/02/2024","187,33","190,20","193,66","183,94","","1,05%"
"13/02/2024","185,39","190,20","193,66","184,57","","-2,69%"
"12/02/2024","190,51","190,20","193,66","188,91","","0,76%"
"09/02/2024","189,07","190,61","190,71","187,65","","-0,18%"
"08/02/2024","189,42","189,55","189,98","185,76","","1,23%"
"07/02/2024","187,12","189,55","189,84","186,53","","-0,52%"
"06/02/2024","188,11","189,55","189,84","186,87","","0,25%"
"05/02/2024","187,64","189,55","189,84","186,87","","-1,64%"
"02/02/2024","190,77","192,60","196,20","188,29","","-1,89%"
"01/02/2024","194,45","192,60","196,20","189,21","","0,29%"
"31/01/2024","193,89","192,60","196,20","191,51","","-0,24%"
"30/01/2024","194,36","192,60","196,03","191,51","","-0,11%"
"29/01/2024","194,57","192,60","195,32","191,51","","1,66%"
"26/01/2024","191,40","191,14","193,69","190,97","","-0,24%"
"25/01/2024","191,86","191,14","193,69","191,05","","0,17%"
"24/01/2024","191,55","188,16","193,19","188,00","","1,90%"
"23/01/2024","187,97","186,45","188,88","186,32","","0,74%"
"22/01/2024","186,58","190,05","190,05","184,44","","-1,83%"
"19/01/2024","190,06","191,64","192,27","189,13","","-0,42%"
"18/01/2024","190,86","189,88","191,18","188,75","","0,61%"
"17/01/2024","189,70","192,77","192,81","189,63","","-1,84%"
"16/01/2024","193,25","194,98","195,45","192,68","","-1,01%"
"12/01/2024","195,23","192,85","198,46","192,27","","2,75%"
"11/01/2024","190,01","193,48","195,65","189,42","","-1,57%"
"10/01/2024","193,03","193,90","194,90","192,14","","-0,11%"
"09/01/2024","193,24","195,24","197,20","193,19","","-0,94%"
"08/01/2024","195,07","194,69","195,86","192,64","","-0,02%"
"05/01/2024","195,11","195,11","198,42","192,22","","0,55%"
"04/01/2024","194,04","193,52","194,61","191,51","","0,13%"
"03/01/2024","193,79","200,17","200,42","192,89","","-3,32%"
"02/01/2024","200,45","201,81","203,65","200,05","","-0,55%"
"29/12/2023","201,56","201,30","202,64","198,88","","-1,17%"
"28/12/2023","203,96","206,53","206,87","203,48","","-1,09%"
"27/12/2023","206,21","205,07","206,95","202,73","","1,00%"
"26/12/2023","204,16","206,07","206,70","203,69","","-0,69%"
"22/12/2023","205,57","207,20","208,33","204,69","","-0,08%"
"21/12/2023","205,74","205,36","207,41","204,48","","-0,19%"
"20/12/2023","206,12","204,19","207,12","202,89","","1,27%"
"19/12/2023","203,53","201,93","204,78","201,26","","0,89%"
"18/12/2023","201,74","202,39","203,81","200,59","","-0,19%"
"15/12/2023","202,13","204,23","205,78","201,72","","-0,95%"
